fastqID,Condition,IPBatch,Rep
C10_INPUT_IP10_Rep2,Thio-2,IP10,Rep2
C11_INPUT_IP11_Rep2,Thio-4,IP11,Rep2
C12_INPUT_IP12_Rep2,Thio-8,IP12,Rep2
C13_INPUT_IP13_Rep3,Untreated,IP13,Rep3
C14_INPUT_IP14_Rep3,DMSO,IP14,Rep3
C15_INPUT_IP15_Rep3,Thio-1,IP15,Rep3
C16_INPUT_IP16_Rep3,Thio-2,IP16,Rep3
C17_INPUT_IP17_Rep3,Thio-4,IP17,Rep3
C18_INPUT_IP18_Rep3,Thio-8,IP18,Rep3
C1_INPUT_IP1_Rep1,Untreated,IP1,Rep1
C2_INPUT_IP2_Rep1,DMSO,IP2,Rep1
C3_INPUT_IP3_Rep1,Thio-1,IP3,Rep1
C4_INPUT_IP4_Rep1,Thio-2,IP4,Rep1
C5_INPUT_IP5_Rep1,Thio-4,IP5,Rep1
C6_INPUT_IP6_Rep1,Thio-8,IP6,Rep1
C7_INPUT_IP7_Rep2,Untreated,IP7,Rep2
C8_INPUT_IP8_Rep2,DMSO,IP8,Rep2
C9_INPUT_IP9_Rep2,Thio-1,IP9,Rep2
C10_IP10_Rep2,Thio-2,IP10,Rep2
C11_IP11_Rep2,Thio-4,IP11,Rep2
C12_IP12_Rep2,Thio-8,IP12,Rep2
C13_IP13_Rep3,Untreated,IP13,Rep3
C14_IP14_Rep3,DMSO,IP14,Rep3
C15_IP15_Rep3,Thio-1,IP15,Rep3
C16_IP16_Rep3,Thio-2,IP16,Rep3
C17_IP17_Rep3,Thio-4,IP17,Rep3
C18_IP18_Rep3,Thio-8,IP18,Rep3
C1_IP1_Rep1,Untreated,IP1,Rep1
C2_IP2_Rep1,DMSO,IP2,Rep1
C3_IP3_Rep1,Thio-1,IP3,Rep1
C4_IP4_Rep1,Thio-2,IP4,Rep1
C5_IP5_Rep1,Thio-4,IP5,Rep1
C6_IP6_Rep1,Thio-8,IP6,Rep1
C7_IP7_Rep2,Untreated,IP7,Rep2
C8_IP8_Rep2,DMSO,IP8,Rep2
C9_IP9_Rep2,Thio-1,IP9,Rep2
